,smiles
0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)[C@@H](N)Cc2cnc[nH]2)[C@@H](O)[C@H]1O
1,Clc1ccccc1CN1CCc2sccc2C1
2,NCCS(=O)(=O)O
3,CN1c2ccccc2C(C#N)(C(=O)NCCC(=O)O)c2ccccc21
4,COc1cc(CCNCc2ccccc2O)c(OC)cc1C#N
5,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@](C)(O)C(C)C)C[C@@H](O)C[C@@H]1O
6,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O
7,N[C@@H](Cc1ccccc1)C(=O)O
8,CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1
9,N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2.N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2.O.O.O
10,CC(C)C[C@H](C[C@H](O)[C@@H](N)CC1CCCCC1)C(=O)O
11,C=C=CCNCCCCNCC=C=C
12,O=C(O)c1cn(C2CC2)c2cc(N3CCC(O)(COc4ccc(N5C[C@H](CO)OC5=O)cc4F)CC3)c(F)cc2c1=O
13,C=CS(=O)(=O)Oc1ccccc1
14,NC(=O)c1cnc2[nH]ccc2c1N[C@H]1[C@H]2CC3C[C@@H]1C[C@@](O)(C3)C2
15,C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69
16,CC(Cc1ccccc1)/N=C/C(Cl)(Cl)Cl
17,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
18,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1
19,CO[C@@H]1C[C@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)N(C(=O)Nc2ccc(Cl)cc2)C1
20,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1
